nbSyll;pron;origin;warning;remarques;POS;lineId;pageId;motVedette;word;sampa;ipa
5;inĕxprĕſsĭble;F.;nbSyll>1 et pas d'accent tonic;;a.;8.0;118;expressible;expressible;i k s p r\ E s @ b @ l;ikspɹɛsəbəl
5;inĕxpŭʹgnable;L.;;;a.;9.0;118;inexcusable;inexcusable;i n i k s k j u z @ b @ l;inikskjuzəbəl
6;inĕxtĭʹnguĭſhable;L.;;;a.;10.0;118;indistinguishable;indistinguishable;i n d i s t I N g w i S @ b @ l;indistɪŋgwiʃəbəl
5;inĕxtĭʹrpable;L.;;;a.;11.0;118;inexorable;inexorable;I n E k s 3:r @ b @ l;ɪnɛksɜ:rəbəl
5;inĕʹxtrĭcable;L.;;;a.;12.0;118;inextricably;inextricably;i n E k s t r\ i k @ b l i:;inɛkstɹikəbliː
6;inĕxūʹpĕrable;;;;a.;13.0;118;inoperable;inoperable;i n A p 3:r @ b @ l;inɑpɜ:rəbəl
6;infallĭbĭʹlĭty;L.;;;a.;14.0;118;infallibility;infallibility;i n f { l i b I l i 4 i:;infælibɪliɾiː
4;infăʹllĭble;L.;;;a.;15.0;118;infallible;infallible;i n f { l @ b @ l;infæləbəl
3;iʹnfăm_o_us;L.;;;a.;16.0;118;infamous;infamous;I n f @ m @ s;ɪnfəməs
3;iʹnfămy;L.;;;n.;17.0;118;infamy;infamy;I n f @ m i:;ɪnfəmiː
3;iʹnfăncy;L.;;;n.;18.0;118;infancy;infancy;I n f @ n s i:;ɪnfənsiː
2;iʹnfănt;L.;;;n.;19.0;118;infant;infant;I n f @ n t;ɪnfənt
3;infăʹntā;;;;n.;20.0;118;infant;infant;I n f @ n t;ɪnfənt
3;infăʹntè;;;;n.;21.0;118;infante;infante;i n f A n t eI;infɑnt?
3;iʹnfăntry;F.;;;n.;22.0;118;infantry;infantry;I n f @ n t r\ i:;ɪnfəntɹiː
4;infăʹtūāte;L.;;;v.;23.0;118;infatuate;infatuate;i n f { tS u eI t;infæ?u?t
6;infătūāʹtion;L.;;;n.;24.0;118;infatuation;infatuation;i n f { tS u eI S @ n;infæ?u?ʃən
2;infĕʹct;L.;;;v.;25.0;118;infect;infect;i n f E k t;infɛkt
4;infĕʹction;;;;n.;26.0;118;infection;infection;i n f E k S @ n;infɛkʃən
4;infĕʹctious;;;;a.;27.0;118;infectious;infectious;i n f E k S @ s;infɛkʃəs
3;infeeʹble;;;;v.;28.0;118;enfeeble;enfeeble;E n f i: b @ l;ɛnfiːbəl
5;infelĭʹcĭty;L.;;;n.;29.0;118;felicity;felicity;f i l I s @ 4 i:;filɪsəɾiː
2;infeoʹff;F.;;;v.;30.0;118;winecoff;winecoff;w I n i k O: f;wɪnikOːf
3;infeoʹffment;;;;n.;31.0;118;inefficient;inefficient;i n i f I S @ n t;inifɪʃənt
2;infĕʹr;;;;v.;32.0;118;infer;infer;i n f 3:r;infɜ:r
3;iʹnfĕrĕnce;L.;;;n.;33.0;118;inference;inference;I n f 3:r @ n s;ɪnfɜ:rəns
4;infēʹrĭor;L.;;;n.;34.0;118;inferior;inferior;i n f I r\ i: 3:r;infɪɹiːɜ:r
6;infērĭŏʹrĭty;;;;n.;35.0;118;inferiority;inferiority;I n f i r\ i: O: r\ i 4 i:;ɪnfiɹiːOːɹiɾiː
4;infērĭors;L.;nbSyll>1 et pas d'accent tonic;;n.;36.0;118;inferior;inferior;i n f I r\ i: 3:r;infɪɹiːɜ:r
3;infĕʹrnal;L.;;;a.;37.0;118;infernal;infernal;i n f 3:r n @ l;infɜ:rnəl
3;infĕʹrtĭle;L.;;;a.;38.0;118;infertile;infertile;i n f 3:r 4 @ l;infɜ:rɾəl
2;infĕʹſt;;;;v.;39.0;118;infest;infest;i n f E s t;infɛst
3;iʹnfĭdel;L.;;;n.;40.0;118;infidel;infidel;I n f i d E l;ɪnfidɛl
5;infĭdĕʹlĭty;L.;;;n.;41.0;118;infidelity;infidelity;I n f i d E l i 4 i:;ɪnfidɛliɾiː
3;iʹnfĭnĭte;L.;;;a.;42.0;118;infinite;infinite;I n f @ n @ t;ɪnfənət
6;infĭnĭteʹsĭmals;;;;n.;43.0;118;infinitesimal;infinitesimal;I n f i n i t E s i m @ l;ɪnfinitɛsiməl
4;infĭʹnĭtive;;;;n.;44.0;118;infinitive;infinitive;i n f I n i 4 i v;infɪniɾiv
2;infĭrm;F.;nbSyll>1 et pas d'accent tonic;;a.;45.0;118;infirm;infirm;i n f 3:r m;infɜ:rm
4;infĭʹrmăry;F.;;;n.;46.0;118;infirmary;infirmary;i n f 3:r m 3:r i:;infɜ:rmɜ:riː
4;infĭrmĭty;F.;nbSyll>1 et pas d'accent tonic;;n.;47.0;118;infirmity;infirmity;i n f 3:r m i 4 i:;infɜ:rmiɾiː
2;infĭʹx;L.;;;v.;48.0;118;minix;minix;m I n i k s;mɪniks
2;inflāʹme;;;;v.;49.0;118;inflame;inflame;i n f l eI m;infl?m
5;inflămmāʹtion;F.;;;n.;50.0;118;inflammation;inflammation;I n f l @ m eI S @ n;ɪnfləm?ʃən
4;inflăʹmmable;;;;a.;51.0;118;inflammable;inflammable;i n f l { m @ b @ l;inflæməbəl
4;inflăʹmmative;;;;a.;52.0;118;inflammation;inflammation;I n f l @ m eI S @ n;ɪnfləm?ʃən
4;inflāʹtion;;;;n.;53.0;118;inflation;inflation;i n f l eI S @ n;infl?ʃən
4;inflĕʹction;L.;;;n.;54.0;118;inflection;inflection;i n f l E k S @ n;inflɛkʃən
6;inflĕxĭbĭʹlĭty;;;;n.;55.0;118;inflexibility;inflexibility;i n f l E k s i b I l i 4 i:;inflɛksibɪliɾiː
4;inflĕʹxĭble;L.;;;a.;56.0;118;inflexible;inflexible;i n f l E k s @ b @ l;inflɛksəbəl
2;inflĭʹct;L.;;;v.;57.0;118;inflict;inflict;i n f l I k t;inflɪkt
4;inflĭʹction;L.;;;n.;58.0;118;infliction;infliction;i n f l I k S @ n;inflɪkʃən
3;iʹnflūĕnce;;;;v.;59.0;118;influence;influence;I n f l u @ n s;ɪnfluəns
2;iʹnflŭx;L.;;;n.;60.0;118;influx;influx;I n f l V k s;ɪnflʌks
2;infoʹld;;;;v.;61.0;118;ninefold;ninefold;n I n f @U l d;nɪnfoʊld
2;infŏʹrce;F.;;;v.;62.0;118;reinforce;reinforce;r\ i: i n f O: r\ s;ɹiːinfOːɹs
2;infŏʹrm;L.;;;v.;63.0;118;inform;inform;i n f O: r\ m;infOːɹm
5;infŏrmāʹtion;L.;;;n.;64.0;118;information;information;I n f 3:r m eI S @ n;ɪnfɜ:rm?ʃən
3;infŏʹrmer;;;;n.;65.0;118;informer;informer;i n f O: r\ m 3:r;infOːɹmɜ:r
4;infŏʹrtūnāte;;;;a.;66.0;118;unfortunate;unfortunate;@ n f O: r\ tS @ n @ t;ənfOːɹ?ənət
4;infraʹction;L.;;;n.;67.0;118;infraction;infraction;i n f r\ { k S @ n;infɹækʃən
3;infrăʹnchīſe;;;;n.;68.0;118;enfranchise;enfranchise;i n f r\ { n tS aI z;infɹæn??z
4;infrăʹngĭble;;;;a.;69.0;118;intangible;intangible;i n t { n dZ @ b @ l;intæn?əbəl
2;infrĭʹnge;L.;;;v.;70.0;118;infringe;infringe;i n f r\ I n dZ;infɹɪn?
3;infrĭʹng_e_ment;;;;n.;71.0;118;infringement;infringement;i n f r\ I n dZ m @ n t;infɹɪn?mənt
2;infūʹſe;L.;;;v.;72.0;118;infuse;infuse;i n f j u z;infjuz
4;infūʹſion;;;;n.;2.0;119;infusion;infusion;i n f j u Z @ n;infjuʒən
2;ingāʹge.;;;;v.;3.0;119;linage;linage;l aI n i dZ;l?ni?
4;ingĕʹmĭnāte;;;;v.;4.0;119;inseminate;inseminate;i n s E m @ n eI t;insɛmən?t
3;ingĕʹnd_e_r;;;;v.;5.0;119;engender;engender;E n dZ E n d 3:r;ɛn?ɛndɜ:r
4;ingĕʹnĭ_o_us;;;;a.;6.0;119;ingenious;ingenious;i n dZ i: n j @ s;in?iːnjəs
5;ingĕnūʹĭty;L.;;;n.;7.0;119;ingenuity;ingenuity;i n dZ @ n u @ 4 i:;in?ənuəɾiː
4;ingĕʹnū_o_us;L.;;;a.;8.0;119;ingenuous;ingenuous;i n dZ E n j u @ s;in?ɛnjuəs
4;inglōʹrĭ_o_us;L.;;;a.;9.0;119;inglorious;inglorious;i n g l O: r\ i: @ s;inglOːɹiːəs
2;iʹngot;;;;n.;10.0;119;ingot;ingot;I N g @ t;ɪŋgət
2;ingrăʹft;;;;n.;11.0;119;graft;graft;g r\ { f t;gɹæft
2;ingraiʹl;;;;v.;12.0;119;grail;grail;g r\ eI l;gɹ?l
2;iʹngrāte;;;;n.;13.0;119;integrate;integrate;I n t @ g r\ eI t;ɪntəgɹ?t
4;ingrāʹtiate;L.;;;v.;14.0;119;ingratiate;ingratiate;i N g r\ eI S i: eI t;iŋgɹ?ʃiː?t
4;ingrāʹtĭtūde;;;;n.;15.0;119;gratitude;gratitude;g r\ { 4 @ t u d;gɹæɾətud
4;ingrĕʹdĭent;L.;;;n.;16.0;119;ingredient;ingredient;i n g r\ i: 4 i: @ n t;ingɹiːɾiːənt
2;iʹngrĕſs;L.;;;n.;17.0;119;dingess;dingess;d I N g i s;dɪŋgis
2;ingrŏʹſs;;;;n.;18.0;119;engross;engross;i n g r\ @U s;ingɹoʊs
2;ingŭʹlf;;;;v.;19.0;119;engulf;engulf;i n g V l f;ingʌlf
6;ingŭrgĭtāʹtion;L.;;;n.;20.0;119;inauguration;inauguration;i n O: g j 3:r eI S @ n;inOːgjɜ:r?ʃən
3;inhăʹbit;L.;;;v.;21.0;119;inhabit;inhabit;i n h { b @ t;inhæbət
5;inhăʹbĭtable;L.;;;a.;22.0;119;uninhabitable;uninhabitable;V n i n h { b @ 4 @ b @ l;ʌninhæbəɾəbəl
4;inhăʹbĭtant;L.;;;n.;23.0;119;inhabitant;inhabitant;i n h { b @ t @ n t;inhæbətənt
5;inhărmŏʹnĭcal;;;;a.;24.0;119;harmonica;harmonica;h A r\ m A n i k @;hɑɹmɑnikə
3;inhēʹrent;F.;;;a.;25.0;119;inherent;inherent;i n h I r\ @ n t;inhɪɹənt
3;inhĕʹrit;;;;v.;26.0;119;inherit;inherit;i n h E r\ @ t;inhɛɹət
4;inhĕʹrĭtănce;;;;n.;27.0;119;inheritance;inheritance;i n h E r\ @ t @ n s;inhɛɹətəns
4;inhĕʹrĭtor;;;;n.;28.0;119;inheritor;inheritor;i n h E r\ @ 4 3:r;inhɛɹəɾɜ:r
4;inhĕʹrĭtrix;;;;n.;29.0;119;inheritor;inheritor;i n h E r\ @ 4 3:r;inhɛɹəɾɜ:r
4;inhēʹſion;L.;;;n.;30.0;119;inversion;inversion;i n v 3:r Z @ n;invɜ:rʒən
3;inhĭʹbĭt;L.;;;v.;31.0;119;inhibit;inhibit;i n h I b @ t;inhɪbət
5;inhĭbĭʹtion;;;;n.;32.0;119;inhibition;inhibition;I n h @ b I S @ n;ɪnhəbɪʃən
5;inhŏʹſpĭtable;L.;;;a.;33.0;119;inhospitable;inhospitable;i n h A s p @ 4 @ b @ l;inhɑspəɾəbəl
3;inhūʹman;;;;a.;34.0;119;inhuman;inhuman;i n h j u m @ n;inhjumən
5;inhūmāʹtion;;;;n.;35.0;119;inhuman;inhuman;i n h j u m @ n;inhjumən
2;injĕʹct;L.;;;v.;36.0;119;inject;inject;i n dZ E k t;in?ɛkt
4;injĕʹction;;;;n.;37.0;119;injection;injection;i n dZ E k S @ n;in?ɛkʃən
5;inĭʹmĭtable;L.;;;a.;38.0;119;inimitable;inimitable;i n I m i 4 @ b @ l;inɪmiɾəbəl
2;injoiʹn;;;;v.;39.0;119;enjoin;enjoin;E n dZ OI n;ɛn??n
2;injoʹy;;;;v.;40.0;119;enjoy;enjoy;E n dZ OI;ɛn??
4;inĭʹquĭt_o_us;;;;a.;41.0;119;iniquitous;iniquitous;i n I k w @ t @ s;inɪkwətəs
4;inĭʹquity;L.;;;n.;42.0;119;inequity;inequity;i n E k w @ 4 i:;inɛkwəɾiː
4;inĭʹtial;L.;;;a.;43.0;119;initial;initial;i n I S @ l;inɪʃəl
4;inĭʹtiāte;L.;;;v.;44.0;119;initiate;initiate;i n I S i: eI t;inɪʃiː?t
6;inĭtiāʹtion;L.;;;n.;45.0;119;initiation;initiation;i n I S i: eI S @ n;inɪʃiː?ʃən
5;injūdĭʹcĭ_o_us;F.;;;a.;46.0;119;injudicious;injudicious;i n dZ V d I S @ s;in?ʌdɪʃəs
4;injŭʹnction;F.;;;n.;47.0;119;injunction;injunction;i n dZ V N k S @ n;in?ʌŋkʃən
2;injŭre;L.;nbSyll>1 et pas d'accent tonic;;v.;48.0;119;injure;injure;I n dZ 3:r;ɪn?ɜ:r
4;injūʹrĭ_o_us;L.;;;a.;49.0;119;injurious;injurious;i n dZ U r\ i: @ s;in?ʊɹiːəs
3;iʹnjŭry;L.;;;n.;50.0;119;injury;injury;I n dZ 3:r i:;ɪn?ɜ:riː
3;injŭʹſtice;;;;n.;51.0;119;injustice;injustice;i n dZ V s t i s;in?ʌstis
1;ĭnk;;;;n.;52.0;119;ink;ink;I N k;ɪŋk
3;ĭnkĭʹndle;;;;v.;53.0;119;kindle;kindle;k I n d @ l;kɪndəl
2;ĭʹnkle;;;;n.;54.0;119;winkle;winkle;w I N k @ l;wɪŋkəl
2;ĭʹnky;;;;a.;55.0;119;inky;inky;I N k i:;ɪŋkiː
2;iʹnlănd;;;;a.;56.0;119;inland;inland;I n l { n d;ɪnlænd
2;inlāʹrge;;;;v.;57.0;119;enlarge;enlarge;E n l A r\ dZ;ɛnlɑɹ?
2;inlaʹy;;;;v.;58.0;119;inlay;inlay;I n l eI;ɪnl?
2;iʹnlet;;;;n.;59.0;119;inlet;inlet;I n l E t;ɪnlɛt
3;inlīʹ_gh_t_e_n;;;;v.;60.0;119;enlighten;enlighten;E n l aI t @ n;ɛnl?tən
3;inlīʹv_e_n;;;;v.;61.0;119;enliven;enliven;E n l aI v @ n;ɛnl?vən
2;ĭʹnly;;;;p.;62.0;119;inlay;inlay;I n l eI;ɪnl?
2;iʹnmāte;;;;n.;63.0;119;inmate;inmate;I n m eI t;ɪnm?t
2;iʹnmoſt;;;;a.;64.0;119;inmost;inmost;I n m @U s t;ɪnmoʊst
1;inn;;;;n.;65.0;119;inn;inn;I n;ɪn
2;innāʹte;;;;a.;66.0;119;innate;innate;i n eI t;in?t
3;iʹnnŏcĕnce;L.;;;n.;67.0;119;innocence;innocence;I n @ s @ n s;ɪnəsəns
3;iʹnnŏcĕnt;L.;;;a.;68.0;119;innocent;innocent;I n @ s @ n t;ɪnəsənt
3;iʹnnŏvāte;L.;;;v.;69.0;119;innovate;innovate;I n @ v eI t;ɪnəv?t
5;innŏvāʹtion;L.;;;n.;70.0;119;innovation;innovation;I n @ v eI S @ n;ɪnəv?ʃən
4;innŏvāʹtor;;;;n.;71.0;119;innovator;innovator;I n @ v eI 4 3:r;ɪnəv?ɾɜ:r
4;innūĕʹndo;;;;n.;72.0;119;innuendo;innuendo;i n j u E n d @U;injuɛndoʊ
5;innūmĕrable;;nbSyll>1 et pas d'accent tonic;;a.;73.0;119;innumerable;innumerable;i n u m 3:r @ b @ l;inumɜ:rəbəl
4;inŏbſeʹrvănce;;;;n.;2.0;120;observance;observance;@ b z 3:r v @ n s;əbzɜ:rvəns
6;inŏcūlāʹtion;;;;n.;3.0;120;inoculation;inoculation;i n A k j @ l eI S @ n;inɑkjəl?ʃən
4;inŏffĕʹnſive;F.;;;a.;4.0;120;inoffensive;inoffensive;i n @ f E n s i v;inəfɛnsiv
4;inŏʹrdĭnāte;L.;;;a.;5.0;120;inordinate;inordinate;i n O: r\ d @ n i t;inOːɹdənit
5;inŏrgăʹnĭcal;L.;;;a.;6.0;120;inorganic;inorganic;i n O: r\ g { n i k;inOːɹgænik
2;iʹnqueſt;;;;n.;7.0;120;inquest;inquest;I n k w E s t;ɪnkwɛst
4;inquīʹĕtūde;L.;;;n.;8.0;120;inquired;inquired;i n k w aI 3:r d;inkw?ɜ:rd
2;inquīre;L.;nbSyll>1 et pas d'accent tonic;;v.;9.0;120;inquire;inquire;i n k w aI r\;inkw?ɹ
3;inquīʹry;L.;;;n.;10.0;120;inquiry;inquiry;i n k w aI r\ i:;inkw?ɹiː
5;inquĭsĭʹtion;;;;n.;11.0;120;inquisition;inquisition;I n k w @ z I S @ n;ɪnkwəzɪʃən
4;inquĭʹsĭʹtive;;;;a.;12.0;120;inquisitive;inquisitive;i n k w I z i 4 i v;inkwɪziɾiv
4;inquĭʹsĭtor;;;;n.;13.0;120;inquisitors;inquisitors;i n k w I z @ 4 3:r z;inkwɪzəɾɜ:rz
2;inrāʹge;F.;;;v.;14.0;120;mirage;mirage;m 3:r A Z;mɜ:rɑʒ
2;inrĭʹch;F.;;;v.;15.0;120;weinrich;weinrich;w aI n r\ i k;w?nɹik
2;iʹnroad;;;;n.;16.0;120;inroad;inroad;I n r\ @U d;ɪnɹoʊd
2;inroʹl;F.;;;v.;17.0;120;intro;intro;I n t r\ @U;ɪntɹoʊ
4;insāʹnable;L.;;;a.;18.0;120;insatiable;insatiable;i n s eI S @ b @ l;ins?ʃəbəl
2;insāʹne;L.;;;n.;19.0;120;insane;insane;i n s eI n;ins?n
5;insăʹtiable;;;;a.;20.0;120;insatiable;insatiable;i n s eI S @ b @ l;ins?ʃəbəl
2;inſcŏʹnce;;;;v.;21.0;120;ensconce;ensconce;i n s k A n s;inskɑns
2;inſcrīʹbe;;;;v.;22.0;120;inscribed;inscribed;i n s k r\ aI b d;inskɹ?bd
4;inſcrĭʹption;;;;n.;23.0;120;inscription;inscription;i n s k r\ I p S @ n;inskɹɪpʃən
4;inſcrūʹtable;L.;;;a.;24.0;120;inscrutable;inscrutable;i n s k r\ u 4 @ b @ l;inskɹuɾəbəl
2;iʹnsĕct;L.;;;a.;25.0;120;insect;insect;I n s E k t;ɪnsɛkt
3;inſĕcūʹre;L.;;;a.;26.0;120;insecure;insecure;I n s @ k j 3:r;ɪnsəkjɜ:r
6;insĕnsĭbĭʹlĭty;L.;;;n.;27.0;120;sensibility;sensibility;s E n s i b I l i 4 i:;sɛnsibɪliɾiː
4;inſĕʹnsĭble;L.;;;a.;28.0;120;insensible;insensible;i n s E n s @ b @ l;insɛnsəbəl
5;insĕʹpărable;L.;;;a.;29.0;120;inseparable;inseparable;i n s E p 3:r @ b @ l;insɛpɜ:rəbəl
2;insĕʹrt;L.;;;v.;30.0;120;insert;insert;i n s 3:r t;insɜ:rt
4;insĕʹrtion;;;;n.;31.0;120;insertion;insertion;i n s 3:r S @ n;insɜ:rʃən
4;insĭʹdĭ_o_us;L.;;;a.;32.0;120;insidious;insidious;i n s I 4 i: @ s;insɪɾiːəs
2;iʹnsīght;L.;;;n.;33.0;120;insight;insight;I n s aI t;ɪns?t
5;insĭgnĭfĭcant;L.;nbSyll>1 et pas d'accent tonic;;a.;34.0;120;insignificant;insignificant;I n s i g n j I f i k @ n t;ɪnsignjɪfikənt
4;insĭʹnūāte;L.;;;v.;35.0;120;insinuate;insinuate;i n s I n j u eI t;insɪnju?t
6;insĭnūāʹtion;L.;;;n.;36.0;120;insinuation;insinuation;i n s I n j u eI S @ n;insɪnju?ʃən
3;insĭʹpid;L.;;;a.;37.0;120;inspired;inspired;i n s p aI 3:r d;insp?ɜ:rd
2;insĭʹſt;;;;v.;38.0;120;insist;insist;i n s I s t;insɪst
2;inſlāʹve;;;;v.;39.0;120;enslave;enslave;E n s l eI v;ɛnsl?v
2;inſnāʹre;;;;v.;40.0;120;ensnare;ensnare;i n s n E r\;insnɛɹ
5;insŏʹcĭable;L.;;;a.;41.0;120;sociable;sociable;s @U S @ b @ l;soʊʃəbəl
3;iʹnsŏlent;;;;a.;42.0;120;insolent;insolent;I n s @ l @ n t;ɪnsələnt
4;insŏʹlvĕncy;F.;;;n.;43.0;120;insolvency;insolvency;i n s A l v @ n s i:;insɑlvənsiː
3;insŏʹlvĕnt;;;;a.;44.0;120;insolvent;insolvent;i n s A l v @ n t;insɑlvənt
2;inſpĕʹct;L.;;;v.;45.0;120;inspect;inspect;i n s p E k t;inspɛkt
4;inſpĕʹction;L.;;;n.;46.0;120;inspection;inspection;i n s p E k S @ n;inspɛkʃən
3;inſpĕʹct_o_r;L.;;;n.;47.0;120;inspector;inspector;i n s p E k t 3:r;inspɛktɜ:r
5;inſpĭrăʹtion;L.;;;n.;48.0;120;inspiration;inspiration;I n s p 3:r eI S @ n;ɪnspɜ:r?ʃən
2;inſpīʹre;L.;;;v.;49.0;120;inspire;inspire;i n s p aI r\;insp?ɹ
3;inſpĭʹrĭt;;;;v.;50.0;120;spirit;spirit;s p I r\ @ t;spɪɹət
3;inſpĭʹſſāte;L.;;;v.;51.0;120;insisted;insisted;i n s I s t @ d;insɪstəd
5;inſtăbĭʹlĭty;L.;;;n.;52.0;120;instability;instability;I n s t @ b I l i 4 i:;ɪnstəbɪliɾiː
2;inſtaʹl;F.;;;v.;53.0;120;install;install;i n s t O: l;instOːl
3;inſtaʹlment;F.;;;n.;54.0;120;installment;installment;i n s t O: l m @ n t;instOːlmənt
2;iʹnſtănce;L.;;;n.;55.0;120;instance;instance;I n s t @ n s;ɪnstəns
2;iʹnſtănt;;;;a.;56.0;120;instant;instant;I n s t @ n t;ɪnstənt
5;inſtăntāʹnĕ_o_us;L.;;;a.;57.0;120;instantaneous;instantaneous;I n s t @ n t { n i: @ s;ɪnstəntæniːəs
5;inſtaurāʹtion;L.;;;n.;58.0;120;instaurator;instaurator;I n s t O: r\ @ 4 3:r;ɪnstOːɹəɾɜ:r
2;iʹnſtĕp;;;;n.;59.0;120;instep;instep;I n s t E p;ɪnstɛp
3;iʹnſtĭgāte;L.;;;v.;60.0;120;instigate;instigate;I n s t @ g eI t;ɪnstəg?t
5;inſtĭgāʹtion;;;;n.;61.0;120;instigation;instigation;I n s t i g eI S @ n;ɪnstig?ʃən
2;inſtiʹl;;;;v.;62.0;120;instill;instill;i n s t I l;instɪl
2;iʹnſtĭnct;L.;;;n.;63.0;120;instinct;instinct;I n s t i N k t;ɪnstiŋkt
3;iʹnſtĭtūte;L.;;;v.;64.0;120;institute;institute;I n s t @ t u t;ɪnstətut
3;inſtĭtūʹtes;L.;;;n.;65.0;120;institutes;institutes;I n s t @ t u t s;ɪnstətuts
5;inſtĭtūʹtion;;;;n.;66.0;120;institution;institution;I n s t i t u S @ n;ɪnstituʃən
5;inſtĭtūʹtions;;;;n.;67.0;120;institutions;institutions;I n s t i t u S @ n z;ɪnstituʃənz
2;inſtrŭʹct;L.;;;v.;68.0;120;instruct;instruct;i n s t r\ V k t;instɹʌkt
4;inſtrŭʹction;;;;n.;69.0;120;instruction;instruction;i n s t r\ V k S @ n;instɹʌkʃən
3;inſtrŭʹctive;;;;a.;70.0;120;instructive;instructive;i n s t r\ V k t i v;instɹʌktiv
3;inſtrūment;L.;nbSyll>1 et pas d'accent tonic;;n.;71.0;120;instrument;instrument;I n s t r\ @ m @ n t;ɪnstɹəmənt
4;inſtrūmĕʹntal;L.;;;n.;72.0;120;instrumental;instrumental;I n s t r\ @ m E n t @ l;ɪnstɹəmɛntəl
5;inſŭccāʹtion;;;;n.;73.0;120;insulation;insulation;I n s @ l eI S @ n;ɪnsəl?ʃən
6;insŭffĭʹcĭĕncy;L.;;;n.;2.0;121;sufficiency;sufficiency;s @ f I S @ n s i:;səfɪʃənsiː
5;insŭffĭʹcĭĕnt;L.;;;a.;3.0;121;insufficient;insufficient;i n s @ f I S @ n t;insəfɪʃənt
3;iʹnsŭlar;L.;;;a.;4.0;121;insular;insular;I n s @ l 3:r;ɪnsəlɜ:r
2;insŭʹlt;L.;;;a.;5.0;121;insult;insult;i n s V l t;insʌlt
5;insūʹpĕrable;L.;;;a.;6.0;121;insufferable;insufferable;i n s V f 3:r @ b @ l;insʌfɜ:rəbəl
5;insŭppŏʹrtable;F.;;;a.;7.0;121;insupportable;insupportable;i n s @ p O: r\ 4 @ b @ l;insəpOːɹɾəbəl
3;insūʹrănce;F.;;;n.;8.0;121;insurance;insurance;i n S U r\ @ n s;inʃʊɹəns
2;insuʹre;F.;;;v.;9.0;121;insure;insure;i n S U r\;inʃʊɹ
3;insuʹrer;;;;n.;10.0;121;insurer;insurer;i n S U r\ 3:r;inʃʊɹɜ:r
5;insŭrmȯu̇ntable;F.;nbSyll>1 et pas d'accent tonic;;a.;11.0;121;insurmountable;insurmountable;I n s 3:r m aU n t @ b @ l;ɪnsɜ:rm?ntəbəl
5;insŭrrĕcʹtion;;;;n.;12.0;121;insurrection;insurrection;I n s 3:r E k S @ n;ɪnsɜ:rɛkʃən
2;intaiʹl;;;;v.;13.0;121;entail;entail;E n t eI l;ɛnt?l
4;intăʹglĭos;;;;n.;14.0;121;intaglio;intaglio;i n t { l j @U;intæljoʊ
3;intăʹngle;;;;v.;15.0;121;intangible;intangible;i n t { n dZ @ b @ l;intæn?əbəl
3;iʹntĕger;;;;n.;16.0;121;integer;integer;I n t @ dZ 3:r;ɪntə?ɜ:r
3;iʹntĕgral;;;;a.;17.0;121;integral;integral;I n t @ g r\ @ l;ɪntəgɹəl
4;intĕʹgrĭty;;;;n.;18.0;121;integrity;integrity;i n t E g r\ @ 4 i:;intɛgɹəɾiː
4;intĕʹgūment;;;;n.;19.0;121;integument;integument;i n t E g j @ m @ n t;intɛgjəmənt
3;iʹntĕllect;;;;n.;20.0;121;intellect;intellect;I n t @ l E k t;ɪntəlɛkt
5;intĕllĕʹctūal;;;;a.;21.0;121;intellectual;intellectual;I n t @ l E k tS u @ l;ɪntəlɛk?uəl
4;intĕʹllĭgĕnce;L.;;;n.;22.0;121;intelligence;intelligence;i n t E l @ dZ @ n s;intɛlə?əns
5;intĕʹllĭgĕncer;;;;n.;23.0;121;intelligence;intelligence;i n t E l @ dZ @ n s;intɛlə?əns
5;intĕʹllĭgĕnces;;;;n.;24.0;121;intelligence;intelligence;i n t E l @ dZ @ n s;intɛlə?əns
4;intĕʹllĭgent;L.;;;a.;25.0;121;intelligent;intelligent;i n t E l @ dZ @ n t;intɛlə?ənt
5;intĕʹllĭgĭble;L.;;;a.;26.0;121;intelligible;intelligible;i n t E l @ dZ @ b @ l;intɛlə?əbəl
4;intĕʹmpĕrănce;L.;;;n.;27.0;121;temperance;temperance;t E m p 3:r @ n s;tɛmpɜ:rəns
4;intĕʹmpĕrāte;;;;a.;28.0;121;intemperate;intemperate;i n t E m p 3:r @ t;intɛmpɜ:rət
5;intĕʹmpĕrătūre;;;;n.;29.0;121;temperature;temperature;t E m p r\ @ tS 3:r;tɛmpɹə?ɜ:r
2;intĕʹnd;L.;;;v.;30.0;121;intend;intend;i n t E n d;intɛnd
4;intĕʹndăncy;;;;n.;31.0;121;tenancy;tenancy;t E n @ n s i:;tɛnənsiː
3;intĕʹndănt;;;;n.;32.0;121;tenant;tenant;t E n @ n t;tɛnənt
3;intĕʹndment;;;;n.;33.0;121;internment;internment;i n t 3:r n m @ n t;intɜ:rnmənt
2;intĕʹnſe;L.;;;a.;34.0;121;intense;intense;i n t E n s;intɛns
2;intĕʹnt;L.;;;n.;35.0;121;intent;intent;i n t E n t;intɛnt
5;intĕʹntional;;;;a.;36.0;121;intentional;intentional;i n t E n S @ n @ l;intɛnʃənəl
5;intĕʹrcălăry;;;;a.;37.0;121;interplay;interplay;I n t 3:r p l eI;ɪntɜ:rpl?
3;intĕrcēʹde;;;;v.;38.0;121;intercede;intercede;I n t 3:r s i: d;ɪntɜ:rsiːd
3;intĕrcĕʹpt;L.;;;v.;39.0;121;intercept;intercept;I n t 3:r s E p t;ɪntɜ:rsɛpt
